date,callsign,flight_number,icao_address,ac_type_icao,aircraft_role,tail_number,airline_icao,airline_iata,airline_name,departure_airport_icao,arrival_airport_icao,departure_airport_iata,arrival_airport_iata,departure_scheduled_time,arrival_scheduled_time,on_time_percentage,flight_duration,year,month,day,day_of_week,is_weekend,country_code_x,region_name_x,iata_x,icao_x,airport_x,departure_latitude,departure_longitude,country_code_y,region_name_y,iata_y,icao_y,airport_y,arrival_latitude,arrival_longitude
2022-11-01,MSR930,MS930,0100DF,B738,PAX,SU-GCR,MSR,MS,Egyptair,HECA,OOMS,CAI,MCT,2022-10-31 19:55:00+00:00,2022-10-31 23:25:00+00:00,71.7844995653616,210.0,2022,11,1,1,False,EG,Al Qahirah,CAI,HECA,Cairo International Airport,30.1219,31.4056,OM,Ad Dakhiliyah,MCT,OOMS,Muscat International Airport,23.5933,58.2844
2024-07-27,MSR930,MS930,0100DF,B738,PAX,SU-GCR,MSR,MS,Egyptair,HECA,OOMS,CAI,MCT,2022-10-31 19:55:00+00:00,2022-10-31 23:25:00+00:00,80.24595416718711,210.0,2024,7,27,5,True,EG,Al Qahirah,CAI,HECA,Cairo International Airport,30.1219,31.4056,OM,Ad Dakhiliyah,MCT,OOMS,Muscat International Airport,23.5933,58.2844
2022-11-01,OMA644,WY644,70C0C1,B738,PAX,A4O-BL,OMA,WY,Oman Air,OKBK,OOMS,KWI,MCT,2022-11-01 01:00:00+00:00,2022-11-01 03:10:00+00:00,94.45765022020171,130.0,2022,11,1,1,False,KW,Al Farwaniyah,KWI,OKBK,Kuwait International Airport,29.2266,47.9689,OM,Ad Dakhiliyah,MCT,OOMS,Muscat International Airport,23.5933,58.2844
2023-08-05,OMA644,WY644,70C0C1,B738,PAX,A4O-BL,OMA,WY,Oman Air,OKBK,OOMS,KWI,MCT,2022-11-01 01:00:00+00:00,2022-11-01 03:10:00+00:00,92.22690316757175,130.0,2023,8,5,5,True,KW,Al Farwaniyah,KWI,OKBK,Kuwait International Airport,29.2266,47.9689,OM,Ad Dakhiliyah,MCT,OOMS,Muscat International Airport,23.5933,58.2844
2022-11-01,OMA678,WY678,70C0E1,B738,PAX,A4O-BAE,OMA,WY,Oman Air,OEMA,OOMS,MED,MCT,2022-10-31 23:35:00+00:00,2022-11-01 02:30:00+00:00,92.32695437129786,175.0,2022,11,1,1,False,SA,Al Madinah al Munawwarah,MED,OEMA,Prince Mohammad bin Abdulaziz Airport,24.5534,39.7051,OM,Ad Dakhiliyah,MCT,OOMS,Muscat International Airport,23.5933,58.2844
2023-08-06,OMA678,WY678,70C0E1,B738,PAX,A4O-BAE,OMA,WY,Oman Air,OEMA,OOMS,MED,MCT,2022-10-31 23:35:00+00:00,2022-11-01 02:30:00+00:00,94.12413493488631,175.0,2023,8,6,6,True,SA,Al Madinah al Munawwarah,MED,OEMA,Prince Mohammad bin Abdulaziz Airport,24.5534,39.7051,OM,Ad Dakhiliyah,MCT,OOMS,Muscat International Airport,23.5933,58.2844
2022-11-01,RAM788H,AT788,02007D,B738,PAX,CN-ROR,RAM,AT,Royal Air Moroc,GMMN,LFPG,CMN,CDG,2022-11-01 12:15:00+00:00,2022-11-01 15:25:00+00:00,97.37199375815058,190.0,2022,11,1,1,False,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2021-11-02,RAM788H,AT788,02007D,B738,PAX,CN-ROR,RAM,AT,Royal Air Moroc,GMMN,LFPG,CMN,CDG,2022-11-01 12:15:00+00:00,2022-11-01 15:25:00+00:00,83.80535121013799,190.0,2021,11,2,1,False,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2022-11-01,AFR065,AF65,394A18,B77W,PAX,F-GSQY,AFR,AF,Air France,KLAX,LFPG,LAX,CDG,2022-10-31 23:25:00+00:00,2022-11-01 10:15:00+00:00,79.27314134817254,650.0,2022,11,1,1,False,US,California,LAX,KLAX,Los Angeles International Airport,33.9425,-118.408,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2021-12-10,AFR065,AF65,394A18,B77W,PAX,F-GSQY,AFR,AF,Air France,KLAX,LFPG,LAX,CDG,2022-10-31 23:25:00+00:00,2022-11-01 10:15:00+00:00,78.68526333544688,650.0,2021,12,10,4,False,US,California,LAX,KLAX,Los Angeles International Airport,33.9425,-118.408,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2022-11-01,BAW326,BA326,4008AD,A319,PAX,G-EUPN,BAW,BA,British Airways,EGLL,LFPG,LHR,CDG,2022-11-01 20:30:00+00:00,2022-11-01 21:50:00+00:00,94.8145339543238,80.0,2022,11,1,1,False,GB,England,LHR,EGLL,Heathrow Airport,51.4775,-0.461389,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2023-06-08,BAW326,BA326,4008AD,A319,PAX,G-EUPN,BAW,BA,British Airways,EGLL,LFPG,LHR,CDG,2022-11-01 20:30:00+00:00,2022-11-01 21:50:00+00:00,77.12036065411638,80.0,2023,6,8,3,False,GB,England,LHR,EGLL,Heathrow Airport,51.4775,-0.461389,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2022-11-01,AFR681,AF681,39CF07,A359,PAX,F-HTYH,AFR,AF,Air France,KATL,LFPG,ATL,CDG,2022-11-01 22:25:00+00:00,2022-11-02 06:35:00+00:00,93.41855726495288,490.0,2022,11,1,1,False,US,Georgia,ATL,KATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2023-05-29,AFR681,AF681,39CF07,A359,PAX,F-HTYH,AFR,AF,Air France,KATL,LFPG,ATL,CDG,2022-11-01 22:25:00+00:00,2022-11-02 06:35:00+00:00,89.36982918694787,490.0,2023,5,29,0,False,US,Georgia,ATL,KATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2022-11-01,LBT520,BJ520,02A1AF,A320,PAX,TS-INP,LBT,BJ,Nouvelair,DTTA,LFPG,TUN,CDG,2022-11-01 14:00:00+00:00,2022-11-01 16:30:00+00:00,89.96857091354119,150.0,2022,11,1,1,False,TN,Tunis,TUN,DTTA,Tunis-Carthage International Airport,36.851,10.2272,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2022-11-01,LBT520,BJ520,02A1AF,A320,PAX,TS-INP,LBT,BJ,Nouvelair,DTTA,LFPG,TUN,CDG,2022-11-01 14:00:00+00:00,2022-11-01 16:30:00+00:00,89.96857091354119,150.0,2022,11,1,1,False,TN,Tunis,TUN,DTTA,Tunis–Carthage International Airport,36.8511,10.2272,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2023-04-11,LBT520,BJ520,02A1AF,A320,PAX,TS-INP,LBT,BJ,Nouvelair,DTTA,LFPG,TUN,CDG,2022-11-01 14:00:00+00:00,2022-11-01 16:30:00+00:00,75.3992369237769,150.0,2023,4,11,1,False,TN,Tunis,TUN,DTTA,Tunis-Carthage International Airport,36.851,10.2272,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2023-04-11,LBT520,BJ520,02A1AF,A320,PAX,TS-INP,LBT,BJ,Nouvelair,DTTA,LFPG,TUN,CDG,2022-11-01 14:00:00+00:00,2022-11-01 16:30:00+00:00,75.3992369237769,150.0,2023,4,11,1,False,TN,Tunis,TUN,DTTA,Tunis–Carthage International Airport,36.8511,10.2272,FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
2022-11-01,MAC437,3O437,20108,A320,PAX,CN-NMG,MAC,3O,Air Arabia Maroc,GMMN,LTFJ,CMN,SAW,2022-11-01 15:50:00+00:00,2022-11-01 20:30:00+00:00,99.68366707982472,280.0,2022,11,1,1,False,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
2021-11-03,MAC437,3O437,20108,A320,PAX,CN-NMG,MAC,3O,Air Arabia Maroc,GMMN,LTFJ,CMN,SAW,2022-11-01 15:50:00+00:00,2022-11-01 20:30:00+00:00,95.08363421289611,280.0,2021,11,3,2,False,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
2022-11-01,PGT7008,PC7008,4BB845,A20N,PAX,TC-NBE,PGT,PC,Pegasus Airlines,EDDB,LTFJ,SXF,SAW,2022-11-01 16:50:00+00:00,2022-11-01 19:40:00+00:00,82.19310465594043,170.0,2022,11,1,1,False,DE,Brandenburg,BER,EDDB,Berlin Brandenburg Airport,52.3514,13.4939,TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
2022-11-01,PGT7008,PC7008,4BB845,A20N,PAX,TC-NBE,PGT,PC,Pegasus Airlines,EDDB,LTFJ,SXF,SAW,2022-11-01 16:50:00+00:00,2022-11-01 19:40:00+00:00,82.19310465594043,170.0,2022,11,1,1,False,DE,Brandenburg,SXF,EDDB,Berlin Schonefeld Airport,52.38,13.5225,TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
2022-01-25,PGT7008,PC7008,4BB845,A20N,PAX,TC-NBE,PGT,PC,Pegasus Airlines,EDDB,LTFJ,SXF,SAW,2022-11-01 16:50:00+00:00,2022-11-01 19:40:00+00:00,82.5754854905499,170.0,2022,1,25,1,False,DE,Brandenburg,BER,EDDB,Berlin Brandenburg Airport,52.3514,13.4939,TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
2022-01-25,PGT7008,PC7008,4BB845,A20N,PAX,TC-NBE,PGT,PC,Pegasus Airlines,EDDB,LTFJ,SXF,SAW,2022-11-01 16:50:00+00:00,2022-11-01 19:40:00+00:00,82.5754854905499,170.0,2022,1,25,1,False,DE,Brandenburg,SXF,EDDB,Berlin Schonefeld Airport,52.38,13.5225,TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
2022-11-01,PGT2009,PC2009,4BB85A,A20N,PAX,TC-NBZ,PGT,PC,Pegasus Airlines,LTAI,LTFJ,AYT,SAW,2022-11-01 10:30:00+00:00,2022-11-01 11:50:00+00:00,74.52892842480207,80.0,2022,11,1,1,False,TR,Antalya,AYT,LTAI,Antalya Airport,36.8987,30.8005,TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
2023-07-11,PGT2009,PC2009,4BB85A,A20N,PAX,TC-NBZ,PGT,PC,Pegasus Airlines,LTAI,LTFJ,AYT,SAW,2022-11-01 10:30:00+00:00,2022-11-01 11:50:00+00:00,88.36085772806774,80.0,2023,7,11,1,False,TR,Antalya,AYT,LTAI,Antalya Airport,36.8987,30.8005,TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
2022-11-01,SVA374,SV374,7103D7,B789,PAX,HZ-ARF,SVA,SV,Saudia,GMMN,OERK,CMN,RUH,2022-11-01 19:30:00+00:00,2022-11-02 02:00:00+00:00,72.99175980617777,390.0,2022,11,1,1,False,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-11-01,SVA374,SV374,7103D7,B789,PAX,HZ-ARF,SVA,SV,Saudia,GMMN,OERK,CMN,RUH,2022-11-01 19:30:00+00:00,2022-11-02 02:00:00+00:00,72.99175980617777,390.0,2022,11,1,1,False,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-02-26,SVA374,SV374,7103D7,B789,PAX,HZ-ARF,SVA,SV,Saudia,GMMN,OERK,CMN,RUH,2022-11-01 19:30:00+00:00,2022-11-02 02:00:00+00:00,82.2187672645021,390.0,2022,2,26,5,True,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-02-26,SVA374,SV374,7103D7,B789,PAX,HZ-ARF,SVA,SV,Saudia,GMMN,OERK,CMN,RUH,2022-11-01 19:30:00+00:00,2022-11-02 02:00:00+00:00,82.2187672645021,390.0,2022,2,26,5,True,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-11-01,KNE006,XY6,424187,A320,PAX,VP-CXM,KNE,XY,flynas,OEJN,OERK,JED,RUH,2022-11-01 06:10:00+00:00,2022-11-01 07:45:00+00:00,70.83916822353976,95.0,2022,11,1,1,False,SA,Makkah al Mukarramah,JED,OEJN,King Abdulaziz International Airport,21.6796,39.1565,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-11-01,KNE006,XY6,424187,A320,PAX,VP-CXM,KNE,XY,flynas,OEJN,OERK,JED,RUH,2022-11-01 06:10:00+00:00,2022-11-01 07:45:00+00:00,70.83916822353976,95.0,2022,11,1,1,False,SA,Makkah al Mukarramah,JED,OEJN,King Abdulaziz International Airport,21.6796,39.1565,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2023-06-16,KNE006,XY6,424187,A320,PAX,VP-CXM,KNE,XY,flynas,OEJN,OERK,JED,RUH,2022-11-01 06:10:00+00:00,2022-11-01 07:45:00+00:00,75.0744873755746,95.0,2023,6,16,4,False,SA,Makkah al Mukarramah,JED,OEJN,King Abdulaziz International Airport,21.6796,39.1565,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2023-06-16,KNE006,XY6,424187,A320,PAX,VP-CXM,KNE,XY,flynas,OEJN,OERK,JED,RUH,2022-11-01 06:10:00+00:00,2022-11-01 07:45:00+00:00,75.0744873755746,95.0,2023,6,16,4,False,SA,Makkah al Mukarramah,JED,OEJN,King Abdulaziz International Airport,21.6796,39.1565,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-11-01,KNE92,XY92,7105BB,A20N,PAX,HZ-NS27,KNE,XY,flynas,OEAB,OERK,AHB,RUH,2022-11-01 18:15:00+00:00,2022-11-01 19:50:00+00:00,85.82491237978972,95.0,2022,11,1,1,False,SA,Asir,AHB,OEAB,Abha Regional Airport,18.2404,42.6566,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-11-01,KNE92,XY92,7105BB,A20N,PAX,HZ-NS27,KNE,XY,flynas,OEAB,OERK,AHB,RUH,2022-11-01 18:15:00+00:00,2022-11-01 19:50:00+00:00,85.82491237978972,95.0,2022,11,1,1,False,SA,Asir,AHB,OEAB,Abha Regional Airport,18.2404,42.6566,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-02-28,KNE92,XY92,7105BB,A20N,PAX,HZ-NS27,KNE,XY,flynas,OEAB,OERK,AHB,RUH,2022-11-01 18:15:00+00:00,2022-11-01 19:50:00+00:00,72.07934905978387,95.0,2022,2,28,0,False,SA,Asir,AHB,OEAB,Abha Regional Airport,18.2404,42.6566,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-02-28,KNE92,XY92,7105BB,A20N,PAX,HZ-NS27,KNE,XY,flynas,OEAB,OERK,AHB,RUH,2022-11-01 18:15:00+00:00,2022-11-01 19:50:00+00:00,72.07934905978387,95.0,2022,2,28,0,False,SA,Asir,AHB,OEAB,Abha Regional Airport,18.2404,42.6566,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-11-01,SVA561,SV561,7100B5,A333,PAX,HZ-AQ11,SVA,SV,Saudia,OMDB,OERK,DXB,RUH,2022-11-01 16:30:00+00:00,2022-11-01 18:40:00+00:00,78.27588370372865,130.0,2022,11,1,1,False,AE,Dubayy,DXB,OMDB,Dubai International Airport,25.2528,55.3644,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-11-01,SVA561,SV561,7100B5,A333,PAX,HZ-AQ11,SVA,SV,Saudia,OMDB,OERK,DXB,RUH,2022-11-01 16:30:00+00:00,2022-11-01 18:40:00+00:00,78.27588370372865,130.0,2022,11,1,1,False,AE,Dubayy,DXB,OMDB,Dubai International Airport,25.2528,55.3644,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2023-08-13,SVA561,SV561,7100B5,A333,PAX,HZ-AQ11,SVA,SV,Saudia,OMDB,OERK,DXB,RUH,2022-11-01 16:30:00+00:00,2022-11-01 18:40:00+00:00,85.95385226166331,130.0,2023,8,13,6,True,AE,Dubayy,DXB,OMDB,Dubai International Airport,25.2528,55.3644,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2023-08-13,SVA561,SV561,7100B5,A333,PAX,HZ-AQ11,SVA,SV,Saudia,OMDB,OERK,DXB,RUH,2022-11-01 16:30:00+00:00,2022-11-01 18:40:00+00:00,85.95385226166331,130.0,2023,8,13,6,True,AE,Dubayy,DXB,OMDB,Dubai International Airport,25.2528,55.3644,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-11-01,KNE116,XY116,42479D,A320,PAX,VP-CYD,KNE,XY,flynas,OEGN,OERK,GIZ,RUH,2022-11-01 21:55:00+00:00,2022-11-01 23:40:00+00:00,82.82864749678919,105.0,2022,11,1,1,False,SA,Jazan,GIZ,OEGN,Jizan Regional Airport (King Abdullah bin Abdulaziz Airport),16.9011,42.5858,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-11-01,KNE116,XY116,42479D,A320,PAX,VP-CYD,KNE,XY,flynas,OEGN,OERK,GIZ,RUH,2022-11-01 21:55:00+00:00,2022-11-01 23:40:00+00:00,82.82864749678919,105.0,2022,11,1,1,False,SA,Jazan,GIZ,OEGN,Jizan Regional Airport (King Abdullah bin Abdulaziz Airport),16.9011,42.5858,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2023-06-18,KNE116,XY116,42479D,A320,PAX,VP-CYD,KNE,XY,flynas,OEGN,OERK,GIZ,RUH,2022-11-01 21:55:00+00:00,2022-11-01 23:40:00+00:00,78.60934724378481,105.0,2023,6,18,6,True,SA,Jazan,GIZ,OEGN,Jizan Regional Airport (King Abdullah bin Abdulaziz Airport),16.9011,42.5858,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2023-06-18,KNE116,XY116,42479D,A320,PAX,VP-CYD,KNE,XY,flynas,OEGN,OERK,GIZ,RUH,2022-11-01 21:55:00+00:00,2022-11-01 23:40:00+00:00,78.60934724378481,105.0,2023,6,18,6,True,SA,Jazan,GIZ,OEGN,Jizan Regional Airport (King Abdullah bin Abdulaziz Airport),16.9011,42.5858,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-11-01,SVA1530,SV1530,710093,A321,PAX,HZ-ASK,SVA,SV,Saudia,OETB,OERK,TUU,RUH,2022-10-31 23:10:00+00:00,2022-11-01 01:05:00+00:00,71.02004617394046,115.0,2022,11,1,1,False,SA,Tabuk,TUU,OETB,Tabuk Regional Airport,28.3654,36.6189,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-11-01,SVA1530,SV1530,710093,A321,PAX,HZ-ASK,SVA,SV,Saudia,OETB,OERK,TUU,RUH,2022-10-31 23:10:00+00:00,2022-11-01 01:05:00+00:00,71.02004617394046,115.0,2022,11,1,1,False,SA,Tabuk,TUU,OETB,Tabuk Regional Airport,28.3654,36.6189,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2023-08-09,SVA1530,SV1530,710093,A321,PAX,HZ-ASK,SVA,SV,Saudia,OETB,OERK,TUU,RUH,2022-10-31 23:10:00+00:00,2022-11-01 01:05:00+00:00,78.44201613300585,115.0,2023,8,9,2,False,SA,Tabuk,TUU,OETB,Tabuk Regional Airport,28.3654,36.6189,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2023-08-09,SVA1530,SV1530,710093,A321,PAX,HZ-ASK,SVA,SV,Saudia,OETB,OERK,TUU,RUH,2022-10-31 23:10:00+00:00,2022-11-01 01:05:00+00:00,78.44201613300585,115.0,2023,8,9,2,False,SA,Tabuk,TUU,OETB,Tabuk Regional Airport,28.3654,36.6189,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-11-01,SVA1292,SV1292,7100A7,A321,PAX,HZ-ASL,SVA,SV,Saudia,OEGT,OERK,URY,RUH,2022-11-01 19:40:00+00:00,2022-11-01 21:35:00+00:00,75.93387022897224,115.0,2022,11,1,1,False,SA,Al Jawf,URY,OEGT,Gurayat Domestic Airport,31.4124,37.2789,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2022-11-01,SVA1292,SV1292,7100A7,A321,PAX,HZ-ASL,SVA,SV,Saudia,OEGT,OERK,URY,RUH,2022-11-01 19:40:00+00:00,2022-11-01 21:35:00+00:00,75.93387022897224,115.0,2022,11,1,1,False,SA,Al Jawf,URY,OEGT,Gurayat Domestic Airport,31.4124,37.2789,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2023-08-10,SVA1292,SV1292,7100A7,A321,PAX,HZ-ASL,SVA,SV,Saudia,OEGT,OERK,URY,RUH,2022-11-01 19:40:00+00:00,2022-11-01 21:35:00+00:00,95.36664336630811,115.0,2023,8,10,3,False,SA,Al Jawf,URY,OEGT,Gurayat Domestic Airport,31.4124,37.2789,SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988
2023-08-10,SVA1292,SV1292,7100A7,A321,PAX,HZ-ASL,SVA,SV,Saudia,OEGT,OERK,URY,RUH,2022-11-01 19:40:00+00:00,2022-11-01 21:35:00+00:00,95.36664336630811,115.0,2023,8,10,3,False,SA,Al Jawf,URY,OEGT,Gurayat Domestic Airport,31.4124,37.2789,SA,Riyadh,RUH,OERK,King Khalid International Airport,24.9578,46.6989
2022-11-01,RAM980E,AT980,20112,E190,PAX,CN-RGQ,RAM,AT,Royal Air Moroc,GMMN,LPPT,CMN,LIS,2022-11-01 10:00:00+00:00,2022-11-01 11:35:00+00:00,83.10467483566823,95.0,2022,11,1,1,False,MA,Casablanca-Settat,CMN,GMMN,Mohammed V International Airport,33.3675,-7.58997,PT,Lisboa,LIS,LPPT,Lisbon Portela Airport,38.7813,-9.13592
